Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-17 00:00:00+08:00,13.944794200483052,15.252118656778338,12.98608926673004,14.685611724853516,313836514,0.0,0.0
2019-05-20 00:00:00+08:00,13.770486240892595,14.328278381114249,13.221409797668457,13.221409797668457,159751289,0.0,0.0
2019-05-21 00:00:00+08:00,12.689763418353241,13.59617503172315,12.140687032680912,13.16911506652832,175416199,0.0,0.0
2019-05-22 00:00:00+08:00,12.81178069977058,12.959944218456448,12.410867795886691,12.489307403564453,114719879,0.0,0.0
2019-05-23 00:00:00+08:00,12.376005611104612,12.376005611104612,11.82692919870705,11.90536880493164,113401532,0.0,0.0
2019-05-24 00:00:00+08:00,11.696196864129078,12.088394056980293,11.687481167778605,11.748489379882812,64553372,0.0,0.0
2019-05-27 00:00:00+08:00,11.809499025081665,11.922800589889043,11.696197460274288,11.87050724029541,65893115,0.0,0.0
2019-05-28 00:00:00+08:00,11.826929758225507,11.835645455146027,11.434732539722726,11.513172149658203,100975947,0.0,0.0
2019-05-29 00:00:00+08:00,11.426016677860604,12.532885235550268,11.356292765852155,11.87050724029541,127892632,0.0,0.0
2019-05-30 00:00:00+08:00,11.861789884061695,12.027384775296335,11.591609970620196,11.931513786315918,81130223,0.0,0.0
2019-05-31 00:00:00+08:00,11.853075775588243,12.506738024289627,11.809498126106577,12.21912670135498,127966239,0.0,0.0
2019-06-03 00:00:00+08:00,12.062247033992454,12.16683289004057,11.635187914002353,11.643902778625488,87339514,0.0,0.0
2019-06-04 00:00:00+08:00,11.600326262387934,11.609041127236749,10.990240839546754,11.094826698303223,82738285,0.0,0.0
2019-06-05 00:00:00+08:00,11.26042207684243,11.312714592856883,10.937948790838101,10.972810745239258,47528158,0.0,0.0
2019-06-06 00:00:00+08:00,10.990240595217571,11.05124963485008,10.240708208538827,10.336578369140625,74673466,0.0,0.0
2019-06-10 00:00:00+08:00,10.35401032601501,10.45859618815562,10.2494244638744,10.371440887451172,38363428,0.0,0.0
2019-06-11 00:00:00+08:00,10.406303051695728,10.850793598152531,10.345294838675033,10.789785385131836,66946199,0.0,0.0
